class_id,class_name,confidence,x1,y1,x2,y2,width,height,center_x,center_y
14,gClef,0.9378069043159485,164.374755859375,132.73727416992188,218.57150268554688,272.9429016113281,54.196746826171875,140.20562744140625,191.47312927246094,202.840087890625
4,beam,0.9275907874107361,404.22857666015625,126.4047622680664,704.2288818359375,165.79550170898438,300.00030517578125,39.39073944091797,554.2287292480469,146.1001319885254
4,beam,0.9210111498832703,958.3330688476562,126.41451263427734,1317.23388671875,166.0206756591797,358.90081787109375,39.606163024902344,1137.7834777832031,146.21759414672852
0,noteheadBlack,0.9184513092041016,994.1923217773438,199.63771057128906,1020.73583984375,221.59478759765625,26.54351806640625,21.957077026367188,1007.4640808105469,210.61624908447266
0,noteheadBlack,0.9180125594139099,440.77923583984375,199.6446533203125,467.2060852050781,221.4979248046875,26.426849365234375,21.853271484375,453.99266052246094,210.5712890625
0,noteheadBlack,0.9177496433258057,262.7553405761719,199.6664581298828,289.3700256347656,221.58937072753906,26.61468505859375,21.92291259765625,276.06268310546875,210.62791442871094
0,noteheadBlack,0.9102199673652649,559.2105102539062,199.59481811523438,585.6334838867188,221.63031005859375,26.4229736328125,22.035491943359375,572.4219970703125,210.61256408691406
0,noteheadBlack,0.9077551364898682,1290.721435546875,199.64498901367188,1317.2763671875,221.71722412109375,26.554931640625,22.072235107421875,1303.9989013671875,210.6811065673828
0,noteheadBlack,0.9048824906349182,381.3182678222656,199.51742553710938,407.8954772949219,221.73556518554688,26.57720947265625,22.2181396484375,394.60687255859375,210.62649536132812
0,noteheadBlack,0.9044572114944458,618.5038452148438,199.528564453125,644.9337158203125,221.5075225830078,26.42987060546875,21.978958129882812,631.7187805175781,210.5180435180664
0,noteheadBlack,0.9032590985298157,1725.816650390625,199.52780151367188,1752.4869384765625,221.5553436279297,26.6702880859375,22.027542114257812,1739.1517944335938,210.54157257080078
0,noteheadBlack,0.9025298357009888,677.767333984375,199.52015686035156,704.6340942382812,221.73458862304688,26.86676025390625,22.214431762695312,691.2007141113281,210.62737274169922
0,noteheadBlack,0.901032567024231,1666.297607421875,199.55230712890625,1692.8316650390625,221.7793731689453,26.5340576171875,22.227066040039062,1679.5646362304688,210.66584014892578
0,noteheadBlack,0.9008803963661194,1547.791259765625,199.56138610839844,1574.495849609375,221.70228576660156,26.70458984375,22.140899658203125,1561.1435546875,210.6318359375
0,noteheadBlack,0.900174081325531,499.6876220703125,199.60069274902344,526.3206176757812,221.37110900878906,26.63299560546875,21.770416259765625,513.0041198730469,210.48590087890625
0,noteheadBlack,0.8998339176177979,935.0458374023438,199.54518127441406,961.6271362304688,221.7587890625,26.581298828125,22.213607788085938,948.3364868164062,210.65198516845703
0,noteheadBlack,0.8968168497085571,1606.8916015625,199.48019409179688,1633.762451171875,221.49893188476562,26.870849609375,22.01873779296875,1620.3270263671875,210.48956298828125
0,noteheadBlack,0.8931275606155396,1231.1402587890625,199.6020965576172,1257.8150634765625,221.77987670898438,26.6748046875,22.177780151367188,1244.4776611328125,210.69098663330078
0,noteheadBlack,0.8912418484687805,1112.7928466796875,199.45326232910156,1139.43994140625,221.83294677734375,26.6470947265625,22.379684448242188,1126.1163940429688,210.64310455322266
0,noteheadBlack,0.8909512162208557,1844.279052734375,199.57693481445312,1870.736328125,221.6928253173828,26.457275390625,22.115890502929688,1857.5076904296875,210.63488006591797
